ta;;;;;;
Id_Restaurante;Restaurante;Votaciones;Valoracion;new_rating;Dirección;Estado
237;La Rollerie- Calle Mayor;788;4.3;4.19;;
238;La Taberna De Moncloa;406;4.4;4.19;;
239;Gioia;416;4.4;4.19;;
240;La Vaca y la Huerta;422;4.4;4.19;;
241;O`pulpo;386;4.4;4.19;;
242;Gustos Madrid;766;4.3;4.19;;
243;Cantina 33;422;4.4;4.19;;
244;Taberna Laredo;793;4.3;4.19;;
245;L´Artisan Furansu Kitchen;385;4.4;4.19;;
246;Verdejo;418;4.4;4.19;;
247;Kabuki;733;4.3;4.19;;
248;Restaurante El Picaporte;423;4.4;4.19;;
249;Taberna Rayuela;417;4.4;4.19;;
250;Vietnam Restaurante 2013 de Letras;769;4.3;4.19;;
251;Las Tortillas De Gabino;839;4.3;4.19;;
252;Le Qualitè Tasca;378;4.4;4.19;;
253;De Maria - Calle Hortaleza;394;4.4;4.19;;
254;Lamiak;385;4.4;4.19;;
255;El Viejo Almacen De Buenos Aires;774;4.3;4.19;;
256;Nuria Restaurante Etiope;783;4.3;4.19;;
257;Dudua Palacio;774;4.3;4.19;;
258;La monteria;745;4.3;4.19;;
259;Taberna del Colono;388;4.4;4.19;;
260;Casa González;567;4.3;4.18;;
261;B13;339;4.4;4.18;;
262;Baco y Beto;340;4.4;4.18;;
263;Los Chuchis Bar;346;4.4;4.18;;
264;O'Pazo;644;4.3;4.18;;
265;La Catapa;664;4.3;4.18;;
266;Restaurante Gala;328;4.4;4.18;;
267;Restaurante Lúbora;320;4.4;4.18;;
268;Restaurante Volvoreta;693;4.3;4.18;;
269;Asador Avelino;321;4.4;4.18;;
270;Bar Melo's Lavapiés;591;4.3;4.18;;
271;Foodtruck;608;4.3;4.18;;
272;Ouh...Babbo!;692;4.3;4.18;;
273;Burnout Burgers;649;4.3;4.18;;
274;Chuka;587;4.3;4.18;;
275;La Ancha De Príncipe De Vergara;601;4.3;4.18;;
276;Carta Marina;338;4.4;4.18;;
277;Restaurante Moharaj;526;4.3;4.17;;
278;Yokaloka;563;4.3;4.17;;
279;El Fogon De Trifon;312;4.4;4.17;;
280;Restaurante Luxury;547;4.3;4.17;;
281;El Pimiento Verde - La Taberna;553;4.3;4.17;;
282;Venta El Buscón;1930;4.2;4.17;;
283;La Perejila;515;4.3;4.17;;
284;Kitchen 154 (Vallehermoso);484;4.3;4.17;;
285;East 47;478;4.3;4.17;;
286;A’Barra;560;4.3;4.17;;
287;Sacha;562;4.3;4.17;;
288;Art & Sushi;306;4.4;4.17;;
289;Ferretería Restaurante;492;4.3;4.17;;
290;El Montero de Cazorla;309;4.4;4.17;;
291;Palacio de Anglona;559;4.3;4.17;;
292;Casa Paco;471;4.3;4.17;;
293;Fathe Pur;456;4.3;4.17;;
294;Alcaravea;539;4.3;4.17;;
295;La Cúpula Restaurant & Bar;553;4.3;4.17;;
296;Fatigas del Querer;1572;4.2;4.16;;
297;El Buey;372;4.3;4.16;;
298;Viandas;427;4.3;4.16;;
299;La Pulpería De Victoria;1374;4.2;4.16;;
300;Cazorla;379;4.3;4.16;;
301;Ochenta Grados Malasaña;1507;4.2;4.16;;
302;Marcano;395;4.3;4.16;;
303;Posada De La Villa;1336;4.2;4.16;;
304;Superchulo;1509;4.2;4.16;;
305;Alimentacion Quiroga;398;4.3;4.16;;
306;La Esquina del Real;359;4.3;4.16;;
307;Barrutia y El 9;435;4.3;4.16;;
308;Yugo the Bunker;365;4.3;4.16;;
309;AskuaBarra;438;4.3;4.16;;
310;Restaurante Lua;1196;4.2;4.16;;
311;Maye's Bistro;396;4.3;4.16;;
312;El Jardin de Orfila by Mario Sandoval;394;4.3;4.16;;
313;Ganz Wine Bar;432;4.3;4.16;;
314;Parrilla El Gaucho;1205;4.2;4.16;;
315;Ribeira Do Miño;1459;4.2;4.16;;
316;Passaparola L´Originale;302;4.3;4.15;;
317;Restaurante Casa Gallega;898;4.2;4.15;;
318;La Antoñita;770;4.2;4.15;;
319;La Bien Aparecida;1103;4.2;4.15;;
320;Prep' La Crêpe;340;4.3;4.15;;
321;L'Albufera Restaurante;984;4.2;4.15;;
322;Sushita Cafe;1069;4.2;4.15;;
323;Taberna del Capitan Alatriste;833;4.2;4.15;;
324;Taberna Cosme;349;4.3;4.15;;
325;Buenas y Santas;303;4.3;4.15;;
326;Trattoria La Tavernetta;341;4.3;4.15;;
327;Hermanos Ordas;311;4.3;4.15;;
328;Restaurante La Vanduca;354;4.3;4.15;;
329;Hache Restaurante;348;4.3;4.15;;
330;Txakolina Cava Baja;1010;4.2;4.15;;
331;Urrechu Velázquez;347;4.3;4.15;;
332;Fratelli d'Italia Chueca;301;4.3;4.15;;
333;Casa Pedro;353;4.3;4.15;;
334;Goiko - General Peron 16;567;4.2;4.14;;
335;Pink Monkey;697;4.2;4.14;;
336;Ristorante Reginella;698;4.2;4.14;;
337;Mad Grill;521;4.2;4.14;;
338;Pui's Thai tapas;588;4.2;4.14;;
339;Asador Guetaria;695;4.2;4.14;;
340;La Castafiore;698;4.2;4.14;;
341;Roostiq;624;4.2;4.14;;
342;Umiko;550;4.2;4.14;;
343;La Raquetista;599;4.2;4.14;;
344;Yerbabuena;722;4.2;4.14;;
345;Café Del Rey;610;4.2;4.14;;
346;Musashi;519;4.2;4.14;;
347;Jarritus Madrid Cerveceria;599;4.2;4.14;;
348;Cachivache;665;4.2;4.14;;
349;Inti De Oro Madrid Centro;625;4.2;4.14;;
350;Entre Suspiro y Suspiro;489;4.2;4.13;;
351;Rocacho;433;4.2;4.13;;
352;Orgaz;420;4.2;4.13;;
353;desengaño13;460;4.2;4.13;;
354;Solo De Croquetas;491;4.2;4.13;;
355;Taberna la Descubierta;347;4.2;4.13;;
356;Deatún Ponzano;442;4.2;4.13;;
357;Parrilla el Barril;310;4.2;4.13;;
358;Cuando Sali de Cuba;393;4.2;4.13;;
359;La Mano de Pablo;424;4.2;4.13;;
360;Castelados;351;4.2;4.13;;
361;Charrua Madrid;347;4.2;4.13;;
362;Arallo Taberna Madrid;387;4.2;4.13;;
363;Amparito Roca;379;4.2;4.13;;
364;Santerra Restaurante;390;4.2;4.13;;
365;Massart Pizza - Moncloa;445;4.2;4.13;;
366;Restaurante Solidere;435;4.2;4.13;;
367;RESTAURANTE BRASAYLEÑA C.C. LA VAGUADA;305;4.2;4.13;;
368;La Cruzada;369;4.2;4.13;;
369;Bodegas Melibea;414;4.2;4.13;;
370;Restaurante El Senador;457;4.2;4.13;;
371;Restaurante Korea;389;4.2;4.13;;
372;Surtopía;468;4.2;4.13;;
373;Beefcious;491;4.2;4.13;;
374;Restaurante El Cocinillas;354;4.2;4.13;;
375;La Carboneria;367;4.2;4.13;;
376;Honest Greens Hortaleza;434;4.2;4.13;;
377;Restaurante Libanes Fairuz;373;4.2;4.13;;
378;Restaurante Casa Salvador;466;4.2;4.13;;
379;Casa Fonzo;393;4.2;4.13;;
380;Swagat Restaurante Indio;311;4.2;4.13;;
381;L'Abbraccio;316;4.2;4.13;;
382;El Barril De Las Cortes;472;4.2;4.13;;
383;Casa Julián;384;4.2;4.13;;
384;La Entretenida;408;4.2;4.13;;
385;Oter Epicure;419;4.2;4.13;;
386;Larumbe;463;4.1;4.1;;
387;Lamian;312;4.1;4.1;;
388;Naia;725;4.1;4.1;;
389;La huerta de Tudela;686;4.1;4.1;;
390;New York Burger Castellana;711;4.1;4.1;;
391;Mercato Ballaró;419;4.1;4.1;;
392;New York Burger Recoletos;712;4.1;4.1;;
393;MALDONADO 14;319;4.1;4.1;;
394;Madrid Madriz;505;4.1;4.1;;
395;Las Nubes Market El Corte Ingles;976;4.1;4.1;;
396;La Rollerie;1443;4.1;4.1;;
397;Ochenta Grados Las Tablas;1513;4.1;4.1;;
398;Mercado de la Reina 12;2743;4.1;4.1;;
399;Serafina Cocina Bar;774;4.1;4.1;;
400;La Pescadería (Ballesta);1666;4.1;4.1;;
401;Taberna Alhambra;2077;4.1;4.1;;
402;El Anciano Rey de los Vinos;519;4.1;4.1;;
403;Diurno Restaurante & Bar;1337;4.1;4.1;;
404;Tablao Flamenco 1911;918;4.1;4.1;;
405;Tablao Flamenco Cardamomo;305;4.1;4.1;;
406;Tandem;356;4.1;4.1;;
407;Tapa Tapa Santa Ana;838;4.1;4.1;;
408;Con Amor;492;4.1;4.1;;
409;The Hat Rooftop Madrid;406;4.1;4.1;;
410;Chiquito Riz;352;4.1;4.1;;
411;Chic Sushi;333;4.1;4.1;;
412;Cerveceria Cervantes;1021;4.1;4.1;;
413;Casa Narcisa;366;4.1;4.1;;
414;Casa Marius;461;4.1;4.1;;
415;Casa Labra;2875;4.1;4.1;;
416;Treze;412;4.1;4.1;;
417;Casa Dani;890;4.1;4.1;;
418;Casa Alberto;1671;4.1;4.1;;
419;Carús;520;4.1;4.1;;
420;Bump Green;587;4.1;4.1;;
421;Vi Cool;1084;4.1;4.1;;
422;Bolivar;372;4.1;4.1;;
423;Benares Madrid;680;4.1;4.1;;
424;Babel;529;4.1;4.1;;
425;Zerain;501;4.1;4.1;;
426;Asador Pelotari;457;4.1;4.1;;
427;Asador Casa Juan;1822;4.1;4.1;;
428;dNorte;410;4.1;4.1;;
429;Artemisa Sol - Huertas;645;4.1;4.1;;
430;kappo;380;4.1;4.1;;
431;El Barril de las Letras;1204;4.1;4.1;;
432;Donzoko;431;4.1;4.1;;
433;El Cucurucho del Mar;665;4.1;4.1;;
434;La Cuchara;363;4.1;4.1;;
435;Koldovinia Taberna Vasca;426;4.1;4.1;;
436;El Neru;1177;4.1;4.1;;
437;KultO;704;4.1;4.1;;
438;Restaurante Casa Amadeo los Caracoles;458;4.1;4.1;;
439;Restaurante Arrabal;467;4.1;4.1;;
440;Rasputin;311;4.1;4.1;;
441;La Descubierta;518;4.1;4.1;;
442;Juan Raro;305;4.1;4.1;;
443;La Fragua de Sebin;504;4.1;4.1;;
444;La Gamella;352;4.1;4.1;;
445;Prada a Tope;573;4.1;4.1;;
446;La Mafia se sienta a la mesa plaza Colon;752;4.1;4.1;;
447;Platea Madrid;3998;4.1;4.1;;
448;La Musa Latina;986;4.1;4.1;;
449;Restaurante La Dominga;361;4.1;4.1;;
450;Restaurante Kechua;338;4.1;4.1;;
451;James Joyce Irish Pub;688;4.1;4.1;;
452;Restaurante Puerto Rico;952;4.1;4.1;;
453;El Pimiento Verde - Castelló;710;4.1;4.1;;
454;El Pimiento Verde - Quintana;941;4.1;4.1;;
455;Shanghai Mama;302;4.1;4.1;;
456;Saona Balboa;660;4.1;4.1;;
457;Sa Brisa;307;4.1;4.1;;
458;Malacatin;1282;4.1;4.1;;
459;Goiko - Santa Engracia 157;455;4.1;4.1;;
460;Cuarto y Mitad;327;4.0;4.08;;
461;Erre Que Erre La Latina;332;4.0;4.08;;
462;Jurucha;316;4.0;4.08;;
463;Yoshi Sushi & More;300;4.0;4.08;;
464;Il Pastaio;328;4.0;4.08;;
465;Tasca La Farmacia;426;4.0;4.07;;
466;Tuk Tuk Asian Street Food Cisneros;473;4.0;4.07;;
467;Tse-Yang;421;4.0;4.07;;
468;Taste Of India;355;4.0;4.07;;
469;Pazo Coruña;426;4.0;4.07;;
470;arce restaurante;383;4.0;4.07;;
471;Taberna Tempranillo;461;4.0;4.07;;
472;Pisco41;344;4.0;4.07;;
473;Picsa Madrid;510;4.0;4.07;;
474;Villa Verbena;381;4.0;4.07;;
475;Órale Un Pedacito;351;4.0;4.07;;
476;El Respiro;373;4.0;4.07;;
477;Comete Mexico;388;4.0;4.07;;
478;Green Tea Sushi & Cocktail - Hotel the Westin Palace;404;4.0;4.07;;
479;BARBILLON Oyster;334;4.0;4.07;;
480;La Rollerie Carrera de San Jerónimo;499;4.0;4.07;;
481;La Tintorería;396;4.0;4.07;;
482;La Charca Taberna;411;4.0;4.07;;
483;El Recuerdo;358;4.0;4.07;;
484;La mafia se sienta a la mesa 4 Torres;389;4.0;4.07;;
485;El Jamón y El Churrasco;339;4.0;4.07;;
486;Artemisa Sol-Gran Via;401;4.0;4.07;;
487;El Corte Ingles;449;4.0;4.07;;
488;Luna Rossa Ristorante Pizzeria;436;4.0;4.07;;
489;Bendita Locura Coffee & Dreams;490;4.0;4.07;;
490;Los Secretos de Lola;522;4.0;4.07;;
491;Ikigai;427;4.0;4.07;;
492;La Máquina Original;645;4.0;4.06;;
493;Tuk Tuk Asian Street Food Chueca;657;4.0;4.06;;
494;Lamucca de Serrano;557;4.0;4.06;;
495;Asador de Aranda;648;4.0;4.06;;
496;Asador Real;742;4.0;4.06;;
497;O Pazo de Lugo;533;4.0;4.06;;
498;Cafe Varela;715;4.0;4.06;;
499;Restaurante Asgaya;554;4.0;4.06;;
500;Cafeteria HD;700;4.0;4.06;;
501;Vaca Nostra;589;4.0;4.06;;
502;La Canica Madrid;695;4.0;4.06;;
503;Royal Cantonés;537;4.0;4.06;;
504;En Busca Del Tiempo;595;4.0;4.06;;
505;El Rincon De Jaen V;662;4.0;4.06;;
506;El Lacon;564;4.0;4.06;;
