web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,position,data14,image,data15,data16,data17,data18,data19,image2,name
1775584421-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Buen servicio,Hiromy B,"Buen sitio, recomendable para venir con amigos y celebrar cumpleaños, Barbara y Laura las mejores nos trataron muy bien",4 contribuciones,Escrita el 13 de noviembre de 2024,nov 2024 • Amigos,,,,,4 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,4.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,,,,,,,
1775584421-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Cena inolvidable,Alvaro,"Excelente lugar, cálido y agradable, la atención de Laura y Bárbara muy buena, super atentas, la comida llegó muy rápido, la carta tiene buenas opciones.",1 contribución,Escrita el 13 de noviembre de 2024,nov 2024 • Amigos,Calidad/precio,Ambiente,Servicio,Comida,Perú,,Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,,,,,,,
1775584421-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Buen ambiente,Adrianis R,"Todo estaba muy rico, Yanet y Laura nos atendieron muy bien… es muy bonito todo, y la atención 100/100. Recomiendo ir porque les gustará para pasar un rato con amigas",1 contribución,Escrita el 4 de noviembre de 2024,nov 2024 • Amigos,Calidad/precio,Ambiente,Servicio,Comida,1 contribución,,Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,,,,,,,
1775584421-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Comida muy buena y el lugar aun mejor!,Lenita8,"Comida muy buena y el lugar aun mejor, la azotea esta un poco escondida y se siente como un respiro rodeado de verde en la capital. Gracias Laura por tu atención. Volveremos! :)",2 contribuciones,Escrita el 2 de noviembre de 2024,nov 2024 • Amigos,,,,,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,2.0,0,,,,,,,,
1775584421-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,"Bueno, bonito y bien atendidos.",Jaime J,"Un sitio al que siempre vengo cuando estoy en el centro de Madrid, buena decoración, buen ambiente y buena comida. Han cambiado la carta recientemente y recomiendo los platos de pasta, en especial el bucatini si te gusta la trufa, y la tablas de queso y jamón. Además, la atención es siempre muy atenta y educada, especialmente por parte de Laura, que siempre te atiende con una sonrisa.",3 contribuciones,Escrita el 27 de octubre de 2024,oct 2024 • En familia,,,,,3 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,3.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,,,,,,,
1775584421-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Brunch de cumple,Bartendertraveling,"Increíbles huevos benedictinos además la atención fue increíble por parte de Laura y todo el personal, además de ser un lugar aesthetic estaba tranquilo y la atención rápida.",14 contribuciones,Escrita el 27 de octubre de 2024,oct 2024 • Amigos,,,,,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,14.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/ea/02/e1/cocktailsforu.jpg?w=100&h=-1&s=1,,,,,,,
1775584421-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Excelente,Maximiliano G,"El lugar es muy bonita, la atención es fue perfecta. Y la comida igualmente fue muy rica. Lo recomiendo mucho para cualquier día y celebraciones",1 contribución,Escrita el 27 de octubre de 2024,oct 2024 • Amigos,,,,,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,,,,,,,
1775584421-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,20/10,marialejandra v,"De los mejores brunch de la ciudad. La terraza es increíble, y la atención tan cálida de Laura nos hizo sentir en casa. Recomendado 100%",1 contribución,Escrita el 27 de octubre de 2024,oct 2024 • Amigos,,,,,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,,,,,,,
1775584421-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Buen ambiente,Juan Andrés S,"Perfecto para compartir con amigos , comida deliciosa y muy buena atención calidad de comida y buena relación precio calidad",1 contribución,Escrita el 27 de octubre de 2024,oct 2024 • Amigos,Calidad/precio,Ambiente,Servicio,Comida,1 contribución,,Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,,,,,,,
1775584421-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Vinos en una azotea maravillosa,Alejandro M,"Fui con un cliente, y la verdad que me encantó una terraza maravillosa para ir a la tardecer o de noche con vino muy rico, Laura nos atendió y fue majísima.",3 contribuciones,Escrita el 26 de octubre de 2024,oct 2024 • Negocios,,,,,3 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,3.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,,,,,
